Savings Account Number,Last Name,Identification Number,Date of Birth,Checking Account Number,Credit Account Number,Phone Number,Checking Starting Balance,Savings Starting Balance,Password,Credit Starting Balance,Address,First Name,Email,Credit Max
2049,Garcia,50,"September 25, 1954",1049,3049,(915) 747-5013,5674.86,3148.33,Garcia*Eduardo!987,-1846.05,"500 W. University Ave, El Paso, TX 79968",Eduardo,EduardoGarcia@disney.com,3591
2010,Disney,11,"July 30, 1976",1010,3010,(714) 781-4636,1065.39,3375.52,Disney*Aladdin!987,-1711.79,"1313 Disneyland Dr, Anaheim, CA 92802",Aladdin,AladdinDisney@disney.com,9035
2026,Hook,27,"December 8, 1990",1026,3026,(714) 781-4636,4570.42,4558.59,Hook*Captaiin!987,-330.97,"1313 Disneyland Dr, Anaheim, CA 92802",Captaiin,CaptaiinHook@disney.com,8348
2071,Evans,72,"July 3, 1944",1071,3071,(915) 747-5035,4246.1704,4087.67,Evans*Robert!987,-1569.94,"500 W. University Ave, El Paso, TX 79968",Robert,RobertEvans@disney.com,9454
2006,Disney,7,"January 29, 2012",1006,3006,(714) 781-4636,564.17,4757.05,Disney*Dale!987,-1485.87,"1313 Disneyland Dr, Anaheim, CA 92802",Dale,DaleDisney@disney.com,3974
2015,Disney,16,"January 24, 1934",1015,3015,961.75,1051.75,595.11,Disney*Woody!987,-1105.12,"1313 Disneyland Dr, Anaheim, CA 92802",Woody,WoodyDisney@disney.com,4456
2027,Disney,28,"February 5, 1938",1027,3027,1691.6901,1777.6901,4776.21,Disney*Kaa!987,-1369.45,"1313 Disneyland Dr, Anaheim, CA 92802",Kaa,KaaDisney@disney.com,5541
2086,I,87,"September 17, 1930",1086,3086,(915) 747-5050,653.47,4810.30,I*Daniel!987,-168.05,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielI@disney.com,3734
2064,Labayen,65,"March 12, 1953",1064,3064,(915) 747-5028,5563.6597,1732.34,Labayen*Laurence!987,-1264.46,"500 W. University Ave, El Paso, TX 79968",Laurence,LaurenceLabayen@disney.com,5489
2028,Queen,29,"June 24, 1992",1028,3028,(714) 781-4636,2345.06,2431.06,Queen*Evil!987,-1759.08,"1313 Disneyland Dr, Anaheim, CA 92802",Evil,EvilQueen@disney.com,8201
2041,Jasso,42,"April 12, 1936",1041,3041,(915) 747-5005,5612.04,2838.84,Jasso*Anthony!987,-539.99,"500 W. University Ave, El Paso, TX 79968",Anthony,AnthonyJasso@disney.com,6902
2068,Ornelas-Gutierrez,69,"April 2, 1939",1068,3068,(915) 747-5032,5195.18,4973.67,Ornelas-Gutierrez*Mauricio!987,-1775.99,"500 W. University Ave, El Paso, TX 79968",Mauricio,MauricioOrnelas-Gutierrez@disney.com,5421
2044,Cabrera,45,"November 11, 1956",1044,3044,(915) 747-5008,5569.96,3242.37,Cabrera*Cesar!987,-477.05,"500 W. University Ave, El Paso, TX 79968",Cesar,CesarCabrera@disney.com,9099
2065,Castro Jimenez,66,"September 9, 1967",1065,3065,(915) 747-5029,4386.32,3495.16,Castro Jimenez*Lidice!987,-848.78,"500 W. University Ave, El Paso, TX 79968",Lidice,LidiceCastro Jimenez@disney.com,7909
2096,T,97,"October 15, 1938",1096,3096,(915) 747-5060,1575.93,3933.31,T*Daniel!987,-5.74,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielT@disney.com,7789
2069,Dang,70,"November 6, 1981",1069,3069,(915) 747-5033,4634.72,4545.28,Dang*Minh!987,-1026.33,"500 W. University Ave, El Paso, TX 79968",Minh,MinhDang@disney.com,6806
2089,L,90,"May 15, 1930",1089,3089,(915) 747-5053,679.06,3328.88,L*Daniel!987,-244.06,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielL@disney.com,7403
2095,S,96,"February 3, 1961",1095,3095,(915) 747-5059,1251.38,4256.77,S*Daniel!987,-1147.74,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielS@disney.com,8566
2076,Rahad,77,"July 22, 2010",1076,3076,(915) 747-5040,1527.29,103.53,Rahad*Khandoker!987,-1886.38,"500 W. University Ave, El Paso, TX 79968",Khandoker,KhandokerRahad@disney.com,3329
2075,Aun,76,"April 26, 1987",1075,3075,(915) 747-5039,450.95,3284.90,Aun*Nathan!987,-736.91,"500 W. University Ave, El Paso, TX 79968",Nathan,NathanAun@disney.com,7422
2013,Disney,14,"September 17, 1994",1013,3013,434.28003,534.28,4745.56,Disney*Aurora!987,-715.58,"1313 Disneyland Dr, Anaheim, CA 92802",Aurora,AuroraDisney@disney.com,7527
2073,Hernandez,74,"December 9, 2011",1073,3073,(915) 747-5037,4776.5703,3354.61,Hernandez*Sofia!987,-984.84,"500 W. University Ave, El Paso, TX 79968",Sofia,SofiaHernandez@disney.com,3692
2040,Cordero,41,"October 2, 1930",1040,3040,(915) 747-5004,5026.6904,1419.14,Cordero*Alyssandra!987,-622.78,"500 W. University Ave, El Paso, TX 79968",Alyssandra,AlyssandraCordero@disney.com,3117
2084,G,85,"June 23, 1965",1084,3084,(915) 747-5048,717.17,1686.03,G*Daniel!987,-782.02,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielG@disney.com,7368
2092,P,93,"January 4, 1954",1092,3092,(915) 747-5056,953.44,2992.45,P*Daniel!987,-1254.62,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielP@disney.com,9482
2052,Marin,53,"May 31, 2004",1052,3052,(915) 747-5016,4066.55,2324.71,Marin*Federico!987,-1721.32,"500 W. University Ave, El Paso, TX 79968",Federico,FedericoMarin@disney.com,8840
2030,Eric,31,"August 7, 2014",1030,3030,(714) 781-4636,3887.06,3944.06,Eric*Prince!987,-1147.04,"1313 Disneyland Dr, Anaheim, CA 92802",Prince,PrinceEric@disney.com,3436
2081,D,82,"June 16, 1940",1081,3081,(915) 747-5045,79.25,516.12,D*Daniel!987,-1438.09,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielD@disney.com,3327
2017,Aladdin,18,"July 2, 1930",1017,3017,968.06006,1024.06,1359.25,Aladdin*Jafar!987,-1124.05,"1313 Disneyland Dr, Anaheim, CA 92802",Jafar,JafarAladdin@disney.com,9544
2002,Mouse,3,"October 14, 1940",1002,3002,(714) 781-4636,31.880001,26.189999,Mouse*Minnie!987,-440.11,"1313 Disneyland Dr, Anaheim, CA 92802",Minnie,MinnieMouse@disney.com,7672
2063,Blanco,64,"November 27, 1947",1063,3063,(915) 747-5027,5422.19,4980.68,Blanco*Laura!987,-1728.00,"500 W. University Ave, El Paso, TX 79968",Laura,LauraBlanco@disney.com,8324
2074,Torres,75,"June 4, 1953",1074,3074,(915) 747-5038,4185.98,263.76,Torres*Yulianna!987,-1589.04,"500 W. University Ave, El Paso, TX 79968",Yulianna,YuliannaTorres@disney.com,3662
2021,De Vil,22,"March 28, 1962",1021,3021,1479.2101,1544.2101,3934.52,De Vil*Cruella!987,-1145.01,"1313 Disneyland Dr, Anaheim, CA 92802",Cruella,CruellaDe Vil@disney.com,8983
2019,Disney,20,"January 25, 1944",1019,3019,940.43005,1028.43,2723.58,Disney*Beast!987,-1415.03,"1313 Disneyland Dr, Anaheim, CA 92802",Beast,BeastDisney@disney.com,8133
2035,Disney,36,"March 4, 1987",1035,3035,(714) 781-4636,1339.24,727.62,Disney*Stitch!987,-91.13,"1313 Disneyland Dr, Anaheim, CA 92802",Stitch,StitchDisney@disney.com,6113
2023,King,24,"December 15, 1983",1023,3023,1202.0299,1280.0299,756.92,King*Simba!987,-782.42,"1313 Disneyland Dr, Anaheim, CA 92802",Simba,SimbaKing@disney.com,9184
2090,N,91,"April 11, 1942",1090,3090,(915) 747-5054,1016.80,2149.51,N*Daniel!987,-716.70,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielN@disney.com,4975
2005,Disney,6,"October 28, 1965",1005,3005,1032.72,4807.06,4882.06,Disney*Chip!987,-1526.55,"1313 Disneyland Dr, Anaheim, CA 92802",Chip,ChipDisney@disney.com,5881
2058,Rodriguez Ortega,59,"March 6, 1989",1058,3058,(915) 747-5022,4393.73,1369.33,Rodriguez Ortega*Jose!987,-1946.74,"500 W. University Ave, El Paso, TX 79968",Jose,JoseRodriguez Ortega@disney.com,4464
2085,H,86,"July 11, 1982",1085,3085,(915) 747-5049,1615.38,2505.64,H*Daniel!987,-366.29,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielH@disney.com,5450
2047,Baptiste,48,"June 9, 1946",1047,3047,(915) 747-5011,5565.87,2516.98,Baptiste*David!987,-1982.26,"500 W. University Ave, El Paso, TX 79968",David,DavidBaptiste@disney.com,4542
2046,Bencomo,47,"April 6, 1984",1046,3046,(915) 747-5010,6008.1,3443.40,Bencomo*Dafne!987,-282.90,"500 W. University Ave, El Paso, TX 79968",Dafne,DafneBencomo@disney.com,5986
2059,Medina - Sandoval,60,"August 27, 1955",1059,3059,(915) 747-5023,4760.2,1400.78,Medina - Sandoval*Joseph!987,-38.33,"500 W. University Ave, El Paso, TX 79968",Joseph,JosephMedina - Sandoval@disney.com,9258
2093,Q,94,"October 1, 2001",1093,3093,(915) 747-5057,1427.95,2453.70,Q*Daniel!987,-731.09,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielQ@disney.com,5752
2098,V,99,"July 27, 1944",1098,3098,(915) 747-5062,841.92,3651.41,V*Daniel!987,-1721.86,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielV@disney.com,6221
2016,Lightyear,17,"January 25, 1931",1016,3016,(714) 781-4636,3592.66,3580.2998,Lightyear*Buzz!987,-1205.03,"1313 Disneyland Dr, Anaheim, CA 92802",Buzz,BuzzLightyear@disney.com,3281
2022,Lion,23,"December 20, 1957",1022,3022,(714) 781-4636,416.37,405.06,Lion*Scar!987,-1140.91,"1313 Disneyland Dr, Anaheim, CA 92802",Scar,ScarLion@disney.com,4650
2034,Disney,35,"August 22, 2013",1034,3034,(714) 781-4636,2451.13,2510.13,Disney*Lilo!987,-1737.07,"1313 Disneyland Dr, Anaheim, CA 92802",Lilo,LiloDisney@disney.com,7428
2051,Ramos,52,"October 18, 1969",1051,3051,(915) 747-5015,4819.8804,7.97,Ramos*Estevan!987,-1728.89,"500 W. University Ave, El Paso, TX 79968",Estevan,EstevanRamos@disney.com,3289
2033,Disney,34,"October 1, 1970",1033,3033,(714) 781-4636,787.34,254.44,Disney*Mulan!987,-197.46,"1313 Disneyland Dr, Anaheim, CA 92802",Mulan,MulanDisney@disney.com,7946
2060,Gutierrez,61,"September 3, 1971",1060,3060,(915) 747-5024,5337.31,3349.49,Gutierrez*Juan!987,-1561.53,"500 W. University Ave, El Paso, TX 79968",Juan,JuanGutierrez@disney.com,9494
2062,Garcia,63,"June 21, 1971",1062,3062,(915) 747-5026,4622.47,1412.89,Garcia*Judith!987,-764.00,"500 W. University Ave, El Paso, TX 79968",Judith,JudithGarcia@disney.com,6023
2011,Disney,12,"September 13, 1987",1011,3011,1433.97,4628.96,4728.96,Disney*Simba!987,-1912.00,"1313 Disneyland Dr, Anaheim, CA 92802",Simba,SimbaDisney@disney.com,3789
2009,Disney,10,"August 12, 1987",1009,3009,1248.2,2562.87,2621.87,Disney*Jasmine!987,-1163.20,"1313 Disneyland Dr, Anaheim, CA 92802",Jasmine,JasmineDisney@disney.com,5310
2007,Disney,8,"April 24, 2019",1007,3007,837.54,4322.91,4401.91,Disney*Cinderella!987,-626.65,"1313 Disneyland Dr, Anaheim, CA 92802",Cinderella,CinderellaDisney@disney.com,4870
2057,Landin,58,"May 21, 2009",1057,3057,(915) 747-5021,4432.85,2289.13,Landin*Isaiah!987,-648.02,"500 W. University Ave, El Paso, TX 79968",Isaiah,IsaiahLandin@disney.com,8601
2004,Disney,5,"June 10, 1993",1004,3004,(714) 781-4636,330.7,4012.16,Disney*Pluto!987,-313.08,"1313 Disneyland Dr, Anaheim, CA 92802",Pluto,PlutoDisney@disney.com,6118
2067,Ruvalcaba,68,"December 25, 1993",1067,3067,(915) 747-5031,4715.3403,2131.08,Ruvalcaba*Manuel!987,-314.17,"500 W. University Ave, El Paso, TX 79968",Manuel,ManuelRuvalcaba@disney.com,7474
2100,X,101,"June 29, 2003",1100,3100,(915) 747-5064,1244.07,534.43,X*Daniel!987,-506.23,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielX@disney.com,6226
2082,E,83,"February 23, 1991",1082,3082,(915) 747-5046,818.28,2738.27,E*Daniel!987,-1854.01,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielE@disney.com,9370
2054,Orea,55,"September 17, 2017",1054,3054,(915) 747-5018,5025.05,3656.15,Orea*Gildardo!987,-1651.12,"500 W. University Ave, El Paso, TX 79968",Gildardo,GildardoOrea@disney.com,6218
2039,Rodriguez,40,"May 13, 1965",1039,3039,(915) 747-5003,5850.24,3080.82,Rodriguez*Alfredo!987,-519.11,"500 W. University Ave, El Paso, TX 79968",Alfredo,AlfredoRodriguez@disney.com,4559
2083,F,84,"March 13, 2005",1083,3083,(915) 747-5047,599.65,2848.19,F*Daniel!987,-453.44,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielF@disney.com,6273
2025,Khan,26,"June 21, 1997",1025,3025,1774.5801,1860.5801,4054.58,Khan*Shere!987,-241.58,"1313 Disneyland Dr, Anaheim, CA 92802",Shere,ShereKhan@disney.com,5698
2045,Reyes,46,"August 21, 1993",1045,3045,(915) 747-5009,4759.86,597.80,Reyes*Christopher!987,-1926.88,"500 W. University Ave, El Paso, TX 79968",Christopher,ChristopherReyes@disney.com,6269
2043,Bustamante,44,"July 5, 2006",1043,3043,(915) 747-5007,5651.3604,364.38,Bustamante*Brandon!987,-1999.64,"500 W. University Ave, El Paso, TX 79968",Brandon,BrandonBustamante@disney.com,4685
2070,Decena,71,"July 23, 1928",1070,3070,(915) 747-5034,4284.5,1436.44,Decena*Oscar!987,-1522.57,"500 W. University Ave, El Paso, TX 79968",Oscar,OscarDecena@disney.com,6832
2061,Rabelo,62,"February 5, 1944",1061,3061,(915) 747-5025,5330.91,1657.81,Rabelo*Juan!987,-1936.56,"500 W. University Ave, El Paso, TX 79968",Juan,JuanRabelo@disney.com,8306
2003,Disney,4,"December 8, 1968",1003,3003,1672.95,3937.17,4018.17,Disney*Goofy!987,-208.05,"1313 Disneyland Dr, Anaheim, CA 92802",Goofy,GoofyDisney@disney.com,4961
2091,O,92,"November 6, 1979",1091,3091,(915) 747-5055,140.53,1335.00,O*Daniel!987,-602.69,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielO@disney.com,8467
2050,Montes,51,"September 23, 1956",1050,3050,(915) 747-5014,4299.14,3838.72,Montes*Ervey!987,-430.10,"500 W. University Ave, El Paso, TX 79968",Ervey,ErveyMontes@disney.com,7928
2072,Carrasco,73,"September 15, 1940",1072,3072,(915) 747-5036,4159.0503,1423.99,Carrasco*Roberto!987,-1101.52,"500 W. University Ave, El Paso, TX 79968",Roberto,RobertoCarrasco@disney.com,7847
2020,Disney,21,"July 5, 1943",1020,3020,(714) 781-4636,1329.08,1294.38,Disney*Belle!987,-1608.53,"1313 Disneyland Dr, Anaheim, CA 92802",Belle,BelleDisney@disney.com,9463
2037,Avila,38,"January 15, 2010",1037,3037,(915) 747-5001,5511.86,4690.72,Avila*Alex!987,-1811.46,"500 W. University Ave, El Paso, TX 79968",Alex,AlexAvila@disney.com,7742
2024,Disney,25,"May 12, 1953",1024,3024,(714) 781-4636,4254.12,4212.92,Disney*Gaston!987,-936.19,"1313 Disneyland Dr, Anaheim, CA 92802",Gaston,GastonDisney@disney.com,6665
2048,Aguirre,49,"September 3, 1962",1048,3048,(915) 747-5012,4711.1104,328.00,Aguirre*Derek!987,-399.67,"500 W. University Ave, El Paso, TX 79968",Derek,DerekAguirre@disney.com,5092
2008,Disney,9,"August 6, 1946",1008,3008,(714) 781-4636,273.94998,3070.7002,Disney*Ariel!987,-1307.98,"1313 Disneyland Dr, Anaheim, CA 92802",Ariel,ArielDisney@disney.com,5176
2097,U,98,"September 23, 1986",1097,3097,(915) 747-5061,1875.61,284.66,U*Daniel!987,-1963.67,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielU@disney.com,4959
2094,R,95,"July 14, 1958",1094,3094,(915) 747-5058,46.94,3708.68,R*Daniel!987,-1805.86,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielR@disney.com,9724
2101,Y,102,"November 29, 1958",1101,3101,(915) 747-5065,1724.81,3906.71,Y*Daniel!987,-1945.53,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielY@disney.com,9499
2000,Mouse,1,"July 21, 1941",1000,3000,3054.17,3036.2,3592.46,Mouse*Mickey!987,-832.03,"1313 Disneyland Dr, Anaheim, CA 92802",Mickey,MickeyMouse@disney.com,5122
2053,Baechle,54,"September 2, 1971",1053,3053,(915) 747-5017,5171.92,92.26,Baechle*Gavin!987,-157.78,"500 W. University Ave, El Paso, TX 79968",Gavin,GavinBaechle@disney.com,6016
2038,Beltran,39,"August 4, 1967",1038,3038,(915) 747-5002,5084.5,3888.01,Beltran*Alfonso!987,-80.83,"500 W. University Ave, El Paso, TX 79968",Alfonso,AlfonsoBeltran@disney.com,4511
2042,Zarzosa,43,"May 3, 1975",1042,3042,(915) 747-5006,4335.17,2663.39,Zarzosa*Arae!987,-11.67,"500 W. University Ave, El Paso, TX 79968",Arae,AraeZarzosa@disney.com,7499
2080,C,81,"April 17, 1997",1080,3080,(915) 747-5044,250.05,557.56,C*Daniel!987,-1910.77,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielC@disney.com,5016
2029,Disney,30,"April 2, 1983",1029,3029,(714) 781-4636,487.35004,2450.40,Disney*Pinocchio!987,-1643.23,"1313 Disneyland Dr, Anaheim, CA 92802",Pinocchio,PinocchioDisney@disney.com,3516
2099,W,100,"February 4, 1989",1099,3099,(915) 747-5063,479.43,3165.21,W*Daniel!987,-1249.36,"500 W. University Ave, El Paso, TX 79968",Daniel,DanielW@disney.com,8041
2036,Miranda,37,"November 17, 1930",1036,3036,(915) 747-5000,4377.43,4344.77,Miranda*Alberto!987,-589.80,"500 W. University Ave, El Paso, TX 79968",Alberto,AlbertoMiranda@disney.com,5916
2031,Disney,32,"August 16, 1944",1031,3031,(714) 781-4636,1429.65,4389.41,Disney*Quasimodo!987,-755.12,"1313 Disneyland Dr, Anaheim, CA 92802",Quasimodo,QuasimodoDisney@disney.com,4598
